	<yagoTheme_yagoWordnetIds>	<hasGloss>	"This file is part of the ontology YAGO3. It is licensed under a Creative-Commons Attribution License by the YAGO team at the Max Planck Institute for Informatics/Germany. See http://yago-knowledge.org for all details. This file was generated on 2017-10-11 T 23:50:16.0962. Mappings of the WordNet-based YAGO classes to the ids of WordNet LINK"	
	<wordnet_plastic_wrap_103958752>	<hasSynsetId>	"103958752"	
	<wordnet_plastron_103958910>	<hasSynsetId>	"103958910"	
	<wordnet_plastron_103959014>	<hasSynsetId>	"103959014"	
	<wordnet_plastron_103959123>	<hasSynsetId>	"103959123"	
	<wordnet_plastron_103959227>	<hasSynsetId>	"103959227"	
	<wordnet_plat_103959350>	<hasSynsetId>	"103959350"	
	<wordnet_plate_103959485>	<hasSynsetId>	"103959485"	
	<wordnet_plate_103959701>	<hasSynsetId>	"103959701"	
	<wordnet_plate_103959936>	<hasSynsetId>	"103959936"	
	<wordnet_plate_103960374>	<hasSynsetId>	"103960374"	
	<wordnet_plate_103960490>	<hasSynsetId>	"103960490"	
	<wordnet_plate_103960664>	<hasSynsetId>	"103960664"	
	<wordnet_plate_103960783>	<hasSynsetId>	"103960783"	
	<wordnet_plate_103960950>	<hasSynsetId>	"103960950"	
	<wordnet_plate_glass_103961070>	<hasSynsetId>	"103961070"	
	<wordnet_plate_iron_103961250>	<hasSynsetId>	"103961250"	
	<wordnet_platen_103961394>	<hasSynsetId>	"103961394"	
	<wordnet_platen_103961503>	<hasSynsetId>	"103961503"	
	<wordnet_platen_103961630>	<hasSynsetId>	"103961630"	
	<wordnet_plate_rack_103961711>	<hasSynsetId>	"103961711"	
	<wordnet_plate_rail_103961828>	<hasSynsetId>	"103961828"	
	<wordnet_platform_103961939>	<hasSynsetId>	"103961939"	
	<wordnet_platform_103962525>	<hasSynsetId>	"103962525"	
	<wordnet_platform_103962685>	<hasSynsetId>	"103962685"	
	<wordnet_platform_bed_103962852>	<hasSynsetId>	"103962852"	
	<wordnet_platform_rocker_103962932>	<hasSynsetId>	"103962932"	
	<wordnet_plating_103963028>	<hasSynsetId>	"103963028"	
	<wordnet_platter_103963198>	<hasSynsetId>	"103963198"	
	<wordnet_playback_103963294>	<hasSynsetId>	"103963294"	
	<wordnet_playbox_103963483>	<hasSynsetId>	"103963483"	
	<wordnet_playground_103963645>	<hasSynsetId>	"103963645"	
	<wordnet_playhouse_103963813>	<hasSynsetId>	"103963813"	
	<wordnet_playing_card_103963982>	<hasSynsetId>	"103963982"	
	<wordnet_playpen_103964495>	<hasSynsetId>	"103964495"	
	<wordnet_playsuit_103964611>	<hasSynsetId>	"103964611"	
	<wordnet_plaything_103964744>	<hasSynsetId>	"103964744"	
	<wordnet_plaza_103965456>	<hasSynsetId>	"103965456"	
	<wordnet_pleat_103965907>	<hasSynsetId>	"103965907"	
	<wordnet_plenum_103966206>	<hasSynsetId>	"103966206"	
	<wordnet_plethysmograph_103966325>	<hasSynsetId>	"103966325"	
	<wordnet_pleximeter_103966582>	<hasSynsetId>	"103966582"	
	<wordnet_plexor_103966751>	<hasSynsetId>	"103966751"	
	<wordnet_pliers_103966976>	<hasSynsetId>	"103966976"	
	<wordnet_plimsoll_103967270>	<hasSynsetId>	"103967270"	
	<wordnet_plotter_103967396>	<hasSynsetId>	"103967396"	
	<wordnet_plow_103967562>	<hasSynsetId>	"103967562"	
	<wordnet_plowshare_103967788>	<hasSynsetId>	"103967788"	
	<wordnet_plug_103967942>	<hasSynsetId>	"103967942"	
	<wordnet_plug_103968293>	<hasSynsetId>	"103968293"	
	<wordnet_plug_fuse_103968479>	<hasSynsetId>	"103968479"	
	<wordnet_plughole_103968581>	<hasSynsetId>	"103968581"	
	<wordnet_plumb_bob_103968728>	<hasSynsetId>	"103968728"	
	<wordnet_plumber's_snake_103968886>	<hasSynsetId>	"103968886"	
	<wordnet_plumbing_103969041>	<hasSynsetId>	"103969041"	
	<wordnet_plumbing_fixture_103969259>	<hasSynsetId>	"103969259"	
	<wordnet_plumb_level_103969510>	<hasSynsetId>	"103969510"	
	<wordnet_plumb_line_103969627>	<hasSynsetId>	"103969627"	
	<wordnet_plumb_rule_103969902>	<hasSynsetId>	"103969902"	
	<wordnet_plume_103969998>	<hasSynsetId>	"103969998"	
	<wordnet_plunger_103970156>	<hasSynsetId>	"103970156"	
	<wordnet_plus_fours_103970363>	<hasSynsetId>	"103970363"	
	<wordnet_plush_103970546>	<hasSynsetId>	"103970546"	
	<wordnet_plutonium_trigger_103970673>	<hasSynsetId>	"103970673"	
	<wordnet_ply_103970884>	<hasSynsetId>	"103970884"	
	<wordnet_ply_103971040>	<hasSynsetId>	"103971040"	
	<wordnet_plywood_103971218>	<hasSynsetId>	"103971218"	
	<wordnet_pneumatic_drill_103971321>	<hasSynsetId>	"103971321"	
	<wordnet_pneumatic_tire_103971422>	<hasSynsetId>	"103971422"	
	<wordnet_pneumococcal_vaccine_103971771>	<hasSynsetId>	"103971771"	
	<wordnet_p-n_junction_103971960>	<hasSynsetId>	"103971960"	
	<wordnet_p-n-p_transistor_103972146>	<hasSynsetId>	"103972146"	
	<wordnet_poacher_103972372>	<hasSynsetId>	"103972372"	
	<wordnet_pocket_103972524>	<hasSynsetId>	"103972524"	
	<wordnet_pocket_103972799>	<hasSynsetId>	"103972799"	
	<wordnet_pocket_battleship_103973003>	<hasSynsetId>	"103973003"	
	<wordnet_pocketbook_103973170>	<hasSynsetId>	"103973170"	
	<wordnet_pocketcomb_103973285>	<hasSynsetId>	"103973285"	
	<wordnet_pocket_flap_103973402>	<hasSynsetId>	"103973402"	
	<wordnet_pocket-handkerchief_103973520>	<hasSynsetId>	"103973520"	
	<wordnet_pocketknife_103973628>	<hasSynsetId>	"103973628"	
	<wordnet_pocket_watch_103973839>	<hasSynsetId>	"103973839"	
	<wordnet_pod_103973945>	<hasSynsetId>	"103973945"	
	<wordnet_pogo_stick_103974070>	<hasSynsetId>	"103974070"	
	<wordnet_point_103974215>	<hasSynsetId>	"103974215"	
	<wordnet_point_103974671>	<hasSynsetId>	"103974671"	
	<wordnet_point_103974769>	<hasSynsetId>	"103974769"	
	<wordnet_point-and-shoot_camera_103974915>	<hasSynsetId>	"103974915"	
	<wordnet_pointed_arch_103975035>	<hasSynsetId>	"103975035"	
	<wordnet_pointer_103975232>	<hasSynsetId>	"103975232"	
	<wordnet_pointillism_103975419>	<hasSynsetId>	"103975419"	
	<wordnet_pointing_trowel_103975657>	<hasSynsetId>	"103975657"	
	<wordnet_point_lace_103975788>	<hasSynsetId>	"103975788"	
	<wordnet_poker_103975926>	<hasSynsetId>	"103975926"	
	<wordnet_polarimeter_103976105>	<hasSynsetId>	"103976105"	
	<wordnet_pole_103976657>	<hasSynsetId>	"103976657"	
	<wordnet_pole_103976960>	<hasSynsetId>	"103976960"	
	<wordnet_pole_103977158>	<hasSynsetId>	"103977158"	
	<wordnet_poleax_103977266>	<hasSynsetId>	"103977266"	
	<wordnet_poleax_103977430>	<hasSynsetId>	"103977430"	
	<wordnet_police_boat_103977592>	<hasSynsetId>	"103977592"	
	<wordnet_police_station_103977678>	<hasSynsetId>	"103977678"	
	<wordnet_police_van_103977966>	<hasSynsetId>	"103977966"	
	<wordnet_poliovirus_vaccine_103978130>	<hasSynsetId>	"103978130"	
	<wordnet_polka_dot_103978300>	<hasSynsetId>	"103978300"	
	<wordnet_polling_booth_103978421>	<hasSynsetId>	"103978421"	
	<wordnet_polo_ball_103978575>	<hasSynsetId>	"103978575"	
	<wordnet_polo_mallet_103978686>	<hasSynsetId>	"103978686"	
	<wordnet_polonaise_103978815>	<hasSynsetId>	"103978815"	
	<wordnet_polo_shirt_103978966>	<hasSynsetId>	"103978966"	
	<wordnet_polychrome_103979100>	<hasSynsetId>	"103979100"	
	<wordnet_polyconic_projection_103979212>	<hasSynsetId>	"103979212"	
	<wordnet_polyester_103979377>	<hasSynsetId>	"103979377"	
	<wordnet_polygraph_103979492>	<hasSynsetId>	"103979492"	
	<wordnet_polymyxin_103979717>	<hasSynsetId>	"103979717"	
	<wordnet_polypropenonitrile_103979847>	<hasSynsetId>	"103979847"	
	<wordnet_pomade_103980026>	<hasSynsetId>	"103980026"	
	<wordnet_pommel_103980178>	<hasSynsetId>	"103980178"	
	<wordnet_pommel_103980332>	<hasSynsetId>	"103980332"	
	<wordnet_pommel_horse_103980478>	<hasSynsetId>	"103980478"	
	<wordnet_pompon_103980734>	<hasSynsetId>	"103980734"	
	<wordnet_poncho_103980874>	<hasSynsetId>	"103980874"	
	<wordnet_pongee_103980986>	<hasSynsetId>	"103980986"	
	<wordnet_poniard_103981094>	<hasSynsetId>	"103981094"	
	<wordnet_pontifical_103981340>	<hasSynsetId>	"103981340"	
	<wordnet_pontoon_103981464>	<hasSynsetId>	"103981464"	
	<wordnet_pontoon_103981566>	<hasSynsetId>	"103981566"	
	<wordnet_pontoon_bridge_103981760>	<hasSynsetId>	"103981760"	
	<wordnet_pony_cart_103981924>	<hasSynsetId>	"103981924"	
	<wordnet_pool_103982060>	<hasSynsetId>	"103982060"	
	<wordnet_pool_ball_103982232>	<hasSynsetId>	"103982232"	
	<wordnet_poolroom_103982331>	<hasSynsetId>	"103982331"	
	<wordnet_pool_table_103982430>	<hasSynsetId>	"103982430"	
	<wordnet_poop_deck_103982642>	<hasSynsetId>	"103982642"	
	<wordnet_poor_box_103982767>	<hasSynsetId>	"103982767"	
	<wordnet_poorhouse_103982895>	<hasSynsetId>	"103982895"	
	<wordnet_pop_bottle_103983396>	<hasSynsetId>	"103983396"	
	<wordnet_popgun_103983499>	<hasSynsetId>	"103983499"	
	<wordnet_poplin_103983612>	<hasSynsetId>	"103983612"	
	<wordnet_popper_103983712>	<hasSynsetId>	"103983712"	
	<wordnet_popper_103983814>	<hasSynsetId>	"103983814"	
	<wordnet_poppet_103983928>	<hasSynsetId>	"103983928"	
	<wordnet_pop_tent_103984125>	<hasSynsetId>	"103984125"	
	<wordnet_porcelain_103984234>	<hasSynsetId>	"103984234"	
	<wordnet_porch_103984381>	<hasSynsetId>	"103984381"	
	<wordnet_porkpie_103984643>	<hasSynsetId>	"103984643"	
	<wordnet_porringer_103984759>	<hasSynsetId>	"103984759"	
	<wordnet_port_103984908>	<hasSynsetId>	"103984908"	
	<wordnet_portable_103985069>	<hasSynsetId>	"103985069"	
	<wordnet_portable_computer_103985232>	<hasSynsetId>	"103985232"	
	<wordnet_portable_circular_saw_103985441>	<hasSynsetId>	"103985441"	
	<wordnet_portage_103985588>	<hasSynsetId>	"103985588"	
	<wordnet_portal_103985684>	<hasSynsetId>	"103985684"	
	<wordnet_portcullis_103985881>	<hasSynsetId>	"103985881"	
	<wordnet_porte-cochere_103986071>	<hasSynsetId>	"103986071"	
	<wordnet_porte-cochere_103986224>	<hasSynsetId>	"103986224"	
	<wordnet_portfolio_103986355>	<hasSynsetId>	"103986355"	
	<wordnet_porthole_103986562>	<hasSynsetId>	"103986562"	
	<wordnet_portico_103986704>	<hasSynsetId>	"103986704"	
	<wordnet_portiere_103986857>	<hasSynsetId>	"103986857"	
	<wordnet_portmanteau_103986949>	<hasSynsetId>	"103986949"	
	<wordnet_portrait_103987079>	<hasSynsetId>	"103987079"	
	<wordnet_portrait_camera_103987266>	<hasSynsetId>	"103987266"	
	<wordnet_portrait_lens_103987376>	<hasSynsetId>	"103987376"	
	<wordnet_positive_103987509>	<hasSynsetId>	"103987509"	
	<wordnet_positive_pole_103987674>	<hasSynsetId>	"103987674"	
	<wordnet_positive_pole_103987865>	<hasSynsetId>	"103987865"	
	<wordnet_positron_emission_tomography_scanner_103987990>	<hasSynsetId>	"103987990"	
	<wordnet_post_103988170>	<hasSynsetId>	"103988170"	
	<wordnet_postage_meter_103988758>	<hasSynsetId>	"103988758"	
	<wordnet_post_and_lintel_103988926>	<hasSynsetId>	"103988926"	
	<wordnet_postbox_103989074>	<hasSynsetId>	"103989074"	
	<wordnet_post_chaise_103989199>	<hasSynsetId>	"103989199"	
	<wordnet_postern_103989349>	<hasSynsetId>	"103989349"	
	<wordnet_post_exchange_103989447>	<hasSynsetId>	"103989447"	
	<wordnet_posthole_103989553>	<hasSynsetId>	"103989553"	
	<wordnet_posthole_digger_103989665>	<hasSynsetId>	"103989665"	
	<wordnet_post_horn_103989777>	<hasSynsetId>	"103989777"	
	<wordnet_posthouse_103989898>	<hasSynsetId>	"103989898"	
	<wordnet_postmodernism_103990025>	<hasSynsetId>	"103990025"	
	<wordnet_call_box_103990210>	<hasSynsetId>	"103990210"	
	<wordnet_post_road_103990385>	<hasSynsetId>	"103990385"	
	<wordnet_pot_103990474>	<hasSynsetId>	"103990474"	
	<wordnet_pot_103990834>	<hasSynsetId>	"103990834"	
	<wordnet_pot_103991062>	<hasSynsetId>	"103991062"	
	<wordnet_potbelly_103991202>	<hasSynsetId>	"103991202"	
	<wordnet_potential_divider_103991443>	<hasSynsetId>	"103991443"	
	<wordnet_potentiometer_103991646>	<hasSynsetId>	"103991646"	
	<wordnet_potentiometer_103991837>	<hasSynsetId>	"103991837"	
	<wordnet_pot_farm_103991969>	<hasSynsetId>	"103991969"	
	<wordnet_potholder_103992115>	<hasSynsetId>	"103992115"	
	<wordnet_pothook_103992208>	<hasSynsetId>	"103992208"	
	<wordnet_potpourri_103992325>	<hasSynsetId>	"103992325"	
	<wordnet_potsherd_103992436>	<hasSynsetId>	"103992436"	
	<wordnet_potter's_wheel_103992509>	<hasSynsetId>	"103992509"	
	<wordnet_pottery_103992703>	<hasSynsetId>	"103992703"	
	<wordnet_pottery_103992888>	<hasSynsetId>	"103992888"	
	<wordnet_pottle_103992975>	<hasSynsetId>	"103992975"	
	<wordnet_potty_seat_103993053>	<hasSynsetId>	"103993053"	
	<wordnet_pouch_103993180>	<hasSynsetId>	"103993180"	
	<wordnet_poultice_103993403>	<hasSynsetId>	"103993403"	
	<wordnet_pound_103993703>	<hasSynsetId>	"103993703"	
	<wordnet_pound_net_103993878>	<hasSynsetId>	"103993878"	
	<wordnet_powder_103994008>	<hasSynsetId>	"103994008"	
	<wordnet_powder_and_shot_103994297>	<hasSynsetId>	"103994297"	
	<wordnet_powdered_mustard_103994417>	<hasSynsetId>	"103994417"	
	<wordnet_powder_horn_103994614>	<hasSynsetId>	"103994614"	
	<wordnet_powder_keg_103994757>	<hasSynsetId>	"103994757"	
	<wordnet_powderpuff_103994874>	<hasSynsetId>	"103994874"	
	<wordnet_power_brake_103995018>	<hasSynsetId>	"103995018"	
	<wordnet_power_cord_103995265>	<hasSynsetId>	"103995265"	
	<wordnet_power_drill_103995372>	<hasSynsetId>	"103995372"	
	<wordnet_power_line_103995535>	<hasSynsetId>	"103995535"	
	<wordnet_power_loom_103995661>	<hasSynsetId>	"103995661"	
	<wordnet_power_module_103995746>	<hasSynsetId>	"103995746"	
	<wordnet_power_mower_103995856>	<hasSynsetId>	"103995856"	
	<wordnet_power_pack_103996004>	<hasSynsetId>	"103996004"	
	<wordnet_power_saw_103996145>	<hasSynsetId>	"103996145"	
	<wordnet_power_shovel_103996416>	<hasSynsetId>	"103996416"	
	<wordnet_power_station_103996655>	<hasSynsetId>	"103996655"	
	<wordnet_power_steering_103996849>	<hasSynsetId>	"103996849"	
	<wordnet_power_system_103997027>	<hasSynsetId>	"103997027"	
	<wordnet_power_takeoff_103997274>	<hasSynsetId>	"103997274"	
	<wordnet_power_tool_103997484>	<hasSynsetId>	"103997484"	
	<wordnet_practice_range_103997745>	<hasSynsetId>	"103997745"	
	<wordnet_praetorium_103997875>	<hasSynsetId>	"103997875"	
	<wordnet_pravastatin_103997980>	<hasSynsetId>	"103997980"	
	<wordnet_prayer_rug_103998194>	<hasSynsetId>	"103998194"	
	<wordnet_prayer_shawl_103998333>	<hasSynsetId>	"103998333"	
	<wordnet_prazosin_103998525>	<hasSynsetId>	"103998525"	
	<wordnet_precipitator_103998673>	<hasSynsetId>	"103998673"	
	<wordnet_predictor_103998867>	<hasSynsetId>	"103998867"	
	<wordnet_prefab_103999064>	<hasSynsetId>	"103999064"	
	<wordnet_presbytery_103999160>	<hasSynsetId>	"103999160"	
	<wordnet_prescription_drug_103999280>	<hasSynsetId>	"103999280"	
	<wordnet_presence_chamber_103999621>	<hasSynsetId>	"103999621"	
	<wordnet_presidio_103999763>	<hasSynsetId>	"103999763"	
	<wordnet_press_103999992>	<hasSynsetId>	"103999992"	
	<wordnet_press_104000311>	<hasSynsetId>	"104000311"	
	<wordnet_press_104000480>	<hasSynsetId>	"104000480"	
	<wordnet_press_box_104000592>	<hasSynsetId>	"104000592"	
	<wordnet_press_gallery_104000716>	<hasSynsetId>	"104000716"	
	<wordnet_pressing_104000867>	<hasSynsetId>	"104000867"	
	<wordnet_press_of_sail_104000998>	<hasSynsetId>	"104000998"	
	<wordnet_pressure_cabin_104001132>	<hasSynsetId>	"104001132"	
	<wordnet_pressure_cooker_104001265>	<hasSynsetId>	"104001265"	
	<wordnet_pressure_dome_104001397>	<hasSynsetId>	"104001397"	
	<wordnet_pressure_gauge_104001499>	<hasSynsetId>	"104001499"	
	<wordnet_pressurized_water_reactor_104001661>	<hasSynsetId>	"104001661"	
	<wordnet_pressure_suit_104001845>	<hasSynsetId>	"104001845"	
	<wordnet_preventive_104002026>	<hasSynsetId>	"104002026"	
	<wordnet_pricket_104002262>	<hasSynsetId>	"104002262"	
	<wordnet_prie-dieu_104002371>	<hasSynsetId>	"104002371"	
	<wordnet_primaquine_104002452>	<hasSynsetId>	"104002452"	
	<wordnet_primary_coil_104002629>	<hasSynsetId>	"104002629"	
	<wordnet_primidone_104002931>	<hasSynsetId>	"104002931"	
	<wordnet_primitivism_104003110>	<hasSynsetId>	"104003110"	
	<wordnet_print_104003597>	<hasSynsetId>	"104003597"	
	<wordnet_print_104003856>	<hasSynsetId>	"104003856"	
	<wordnet_print_104003982>	<hasSynsetId>	"104003982"	
	<wordnet_print_buffer_104004099>	<hasSynsetId>	"104004099"	
	<wordnet_printed_circuit_104004210>	<hasSynsetId>	"104004210"	
	<wordnet_printer_104004475>	<hasSynsetId>	"104004475"	
	<wordnet_printer_104004767>	<hasSynsetId>	"104004767"	
	<wordnet_printer_cable_104004990>	<hasSynsetId>	"104004990"	
	<wordnet_print_shop_104005090>	<hasSynsetId>	"104005090"	
	<wordnet_priory_104005197>	<hasSynsetId>	"104005197"	
	<wordnet_prism_104005340>	<hasSynsetId>	"104005340"	
	<wordnet_prison_104005630>	<hasSynsetId>	"104005630"	
	<wordnet_prison_camp_104005912>	<hasSynsetId>	"104005912"	
	<wordnet_privateer_104006067>	<hasSynsetId>	"104006067"	
	<wordnet_private_line_104006227>	<hasSynsetId>	"104006227"	
	<wordnet_privet_hedge_104006330>	<hasSynsetId>	"104006330"	
	<wordnet_probe_104006411>	<hasSynsetId>	"104006411"	
	<wordnet_probenecid_104006584>	<hasSynsetId>	"104006584"	
	<wordnet_procaine_104006727>	<hasSynsetId>	"104006727"	
	<wordnet_procaine_hydrochloride_104006953>	<hasSynsetId>	"104006953"	
	<wordnet_procarbazine_104007126>	<hasSynsetId>	"104007126"	
	<wordnet_prochlorperazine_104007239>	<hasSynsetId>	"104007239"	
	<wordnet_proctoscope_104007415>	<hasSynsetId>	"104007415"	
	<wordnet_procyclidine_104007510>	<hasSynsetId>	"104007510"	
	<wordnet_prod_104007664>	<hasSynsetId>	"104007664"	
	<wordnet_product_104007894>	<hasSynsetId>	"104007894"	
	<wordnet_production_line_104008385>	<hasSynsetId>	"104008385"	
	<wordnet_projectile_104008634>	<hasSynsetId>	"104008634"	
	<wordnet_projection_104008947>	<hasSynsetId>	"104008947"	
	<wordnet_projection_104009382>	<hasSynsetId>	"104009382"	
	<wordnet_projector_104009552>	<hasSynsetId>	"104009552"	
	<wordnet_projector_104009801>	<hasSynsetId>	"104009801"	
	<wordnet_prolonge_104009923>	<hasSynsetId>	"104009923"	
	<wordnet_prolonge_knot_104010057>	<hasSynsetId>	"104010057"	
	<wordnet_promenade_104010205>	<hasSynsetId>	"104010205"	
	<wordnet_promethazine_104010348>	<hasSynsetId>	"104010348"	
	<wordnet_prompt_box_104010566>	<hasSynsetId>	"104010566"	
	<wordnet_prompter_104010779>	<hasSynsetId>	"104010779"	
	<wordnet_prong_104010927>	<hasSynsetId>	"104010927"	
	<wordnet_proof_104011130>	<hasSynsetId>	"104011130"	
	<wordnet_prop_104011242>	<hasSynsetId>	"104011242"	
	<wordnet_propanolol_104011409>	<hasSynsetId>	"104011409"	
	<wordnet_propellant_explosive_104011609>	<hasSynsetId>	"104011609"	
	<wordnet_propeller_104011827>	<hasSynsetId>	"104011827"	
	<wordnet_propeller_plane_104012084>	<hasSynsetId>	"104012084"	
	<wordnet_property_104012260>	<hasSynsetId>	"104012260"	
	<wordnet_propjet_104012482>	<hasSynsetId>	"104012482"	
	<wordnet_proportional_counter_tube_104012665>	<hasSynsetId>	"104012665"	
	<wordnet_propoxyphene_104012852>	<hasSynsetId>	"104012852"	
	<wordnet_propulsion_system_104013060>	<hasSynsetId>	"104013060"	
	<wordnet_proscenium_104013176>	<hasSynsetId>	"104013176"	
	<wordnet_proscenium_104013362>	<hasSynsetId>	"104013362"	
	<wordnet_proscenium_arch_104013600>	<hasSynsetId>	"104013600"	
	<wordnet_prosthesis_104013729>	<hasSynsetId>	"104013729"	
	<wordnet_protease_inhibitor_104013993>	<hasSynsetId>	"104013993"	
	<wordnet_protective_covering_104014297>	<hasSynsetId>	"104014297"	
	<wordnet_protective_garment_104015204>	<hasSynsetId>	"104015204"	
	<wordnet_proteosome_vaccine_104015652>	<hasSynsetId>	"104015652"	
	<wordnet_proton_accelerator_104015786>	<hasSynsetId>	"104015786"	
	<wordnet_protractor_104015908>	<hasSynsetId>	"104015908"	
	<wordnet_protriptyline_104016015>	<hasSynsetId>	"104016015"	
	<wordnet_proving_ground_104016133>	<hasSynsetId>	"104016133"	
	<wordnet_pruner_104016240>	<hasSynsetId>	"104016240"	
	<wordnet_pruning_knife_104016479>	<hasSynsetId>	"104016479"	
	<wordnet_pruning_saw_104016576>	<hasSynsetId>	"104016576"	
	<wordnet_pruning_shears_104016684>	<hasSynsetId>	"104016684"	
	<wordnet_psaltery_104016846>	<hasSynsetId>	"104016846"	
	<wordnet_psilocybin_104017019>	<hasSynsetId>	"104017019"	
	<wordnet_psychoactive_drug_104017137>	<hasSynsetId>	"104017137"	
	<wordnet_psychotropic_agent_104017429>	<hasSynsetId>	"104017429"	
	<wordnet_psychrometer_104017571>	<hasSynsetId>	"104017571"	
	<wordnet_mosquito_boat_104017807>	<hasSynsetId>	"104017807"	
	<wordnet_p-type_semiconductor_104017993>	<hasSynsetId>	"104017993"	
	<wordnet_public_address_system_104018155>	<hasSynsetId>	"104018155"	
	<wordnet_public_house_104018399>	<hasSynsetId>	"104018399"	
	<wordnet_public_toilet_104018667>	<hasSynsetId>	"104018667"	
	<wordnet_public_transit_104018951>	<hasSynsetId>	"104018951"	
	<wordnet_public_transport_104019101>	<hasSynsetId>	"104019101"	
	<wordnet_public_works_104019335>	<hasSynsetId>	"104019335"	
	<wordnet_puck_104019541>	<hasSynsetId>	"104019541"	
	<wordnet_pull_104019696>	<hasSynsetId>	"104019696"	
	<wordnet_pullback_104019881>	<hasSynsetId>	"104019881"	
	<wordnet_pull_chain_104020087>	<hasSynsetId>	"104020087"	
	<wordnet_pulley_104020298>	<hasSynsetId>	"104020298"	
	<wordnet_pull-in_104020617>	<hasSynsetId>	"104020617"	
	<wordnet_pull-off_104020744>	<hasSynsetId>	"104020744"	
	<wordnet_pullover_104021028>	<hasSynsetId>	"104021028"	
	<wordnet_pull-through_104021164>	<hasSynsetId>	"104021164"	
	<wordnet_pulse_counter_104021362>	<hasSynsetId>	"104021362"	
	<wordnet_pulse_generator_104021503>	<hasSynsetId>	"104021503"	
	<wordnet_pulse_timing_circuit_104021704>	<hasSynsetId>	"104021704"	
	<wordnet_pump_104021798>	<hasSynsetId>	"104021798"	
	<wordnet_pump_104022332>	<hasSynsetId>	"104022332"	
	<wordnet_pump_action_104022434>	<hasSynsetId>	"104022434"	
	<wordnet_pump_house_104022708>	<hasSynsetId>	"104022708"	
	<wordnet_pump_room_104022866>	<hasSynsetId>	"104022866"	
	<wordnet_pump-type_pliers_104023021>	<hasSynsetId>	"104023021"	
	<wordnet_pump_well_104023119>	<hasSynsetId>	"104023119"	
	<wordnet_punch_104023249>	<hasSynsetId>	"104023249"	
	<wordnet_punchboard_104023422>	<hasSynsetId>	"104023422"	
	<wordnet_punch_bowl_104023695>	<hasSynsetId>	"104023695"	
	<wordnet_punched_card_104023808>	<hasSynsetId>	"104023808"	
	<wordnet_punching_bag_104023962>	<hasSynsetId>	"104023962"	
	<wordnet_punch_pliers_104024137>	<hasSynsetId>	"104024137"	
	<wordnet_punch_press_104024274>	<hasSynsetId>	"104024274"	
	<wordnet_puncture_104024396>	<hasSynsetId>	"104024396"	
	<wordnet_pung_104024576>	<hasSynsetId>	"104024576"	
	<wordnet_punkah_104024676>	<hasSynsetId>	"104024676"	
	<wordnet_punnet_104024862>	<hasSynsetId>	"104024862"	
	<wordnet_punt_104024983>	<hasSynsetId>	"104024983"	
	<wordnet_puppet_104025130>	<hasSynsetId>	"104025130"	
	<wordnet_puppet_104025350>	<hasSynsetId>	"104025350"	
	<wordnet_pup_tent_104025508>	<hasSynsetId>	"104025508"	
	<wordnet_purdah_104025633>	<hasSynsetId>	"104025633"	
	<wordnet_purgative_104025748>	<hasSynsetId>	"104025748"	
	<wordnet_purifier_104026053>	<hasSynsetId>	"104026053"	
	<wordnet_purl_104026180>	<hasSynsetId>	"104026180"	
	<wordnet_purl_104026304>	<hasSynsetId>	"104026304"	
	<wordnet_purse_104026417>	<hasSynsetId>	"104026417"	
	<wordnet_purse_seine_104026518>	<hasSynsetId>	"104026518"	
	<wordnet_purse_string_104026688>	<hasSynsetId>	"104026688"	
	<wordnet_push-bike_104026813>	<hasSynsetId>	"104026813"	
	<wordnet_push_broom_104026918>	<hasSynsetId>	"104026918"	
	<wordnet_push_button_104027023>	<hasSynsetId>	"104027023"	
	<wordnet_push-button_radio_104027367>	<hasSynsetId>	"104027367"	
	<wordnet_push-down_storage_104027504>	<hasSynsetId>	"104027504"	
	<wordnet_pusher_104027706>	<hasSynsetId>	"104027706"	
	<wordnet_put-put_104027820>	<hasSynsetId>	"104027820"	
	<wordnet_puttee_104027935>	<hasSynsetId>	"104027935"	
	<wordnet_putter_104028074>	<hasSynsetId>	"104028074"	
	<wordnet_putty_knife_104028221>	<hasSynsetId>	"104028221"	
	<wordnet_puzzle_104028315>	<hasSynsetId>	"104028315"	
	<wordnet_pyelogram_104028472>	<hasSynsetId>	"104028472"	
	<wordnet_pylon_104028581>	<hasSynsetId>	"104028581"	
	<wordnet_pylon_104028764>	<hasSynsetId>	"104028764"	
	<wordnet_pyocyanase_104028881>	<hasSynsetId>	"104028881"	
	<wordnet_pyocyanin_104029015>	<hasSynsetId>	"104029015"	
	<wordnet_pyramidal_tent_104029416>	<hasSynsetId>	"104029416"	
	<wordnet_pyrilamine_104029541>	<hasSynsetId>	"104029541"	
	<wordnet_pyrograph_104029647>	<hasSynsetId>	"104029647"	
	<wordnet_pyrometer_104029734>	<hasSynsetId>	"104029734"	
	<wordnet_pyrometric_cone_104029913>	<hasSynsetId>	"104029913"	
	<wordnet_pyrostat_104030054>	<hasSynsetId>	"104030054"	
	<wordnet_pyx_104030161>	<hasSynsetId>	"104030161"	
	<wordnet_pyx_104030274>	<hasSynsetId>	"104030274"	
	<wordnet_pyxis_104030414>	<hasSynsetId>	"104030414"	
	<wordnet_quad_104030518>	<hasSynsetId>	"104030518"	
	<wordnet_quad_104030655>	<hasSynsetId>	"104030655"	
	<wordnet_quadrant_104030846>	<hasSynsetId>	"104030846"	
